

Topic: 0
南海	0.006770220259591366
日本	0.006318273976536167
俄罗斯	0.006059181648609906
处分	0.005244819417160854
资源	0.005131202149070278
中国	0.005019162460882225
编队	0.004949182486595439
烟草	0.004586785472679877
日军	0.004512670832799704
舰艇	0.004409450215191534
书记	0.004316235387855076
演习	0.004276400812298483
敌人	0.004240442763670782
扶贫	0.004224886376891579
狼牙山	0.004140618570780785
海军	0.0040815385380222275
壮士	0.004055992329151031
菲律宾	0.004044106046895438
补给	0.003973695830191032
警告	0.0037846774912668863


Topic: 1
服务	0.01326151233276644
银行	0.01160027377644398
贷款	0.01145346075983689
收费	0.01046881222011058
企业	0.008920662375176558
预付卡	0.007163545073818045
收取	0.006331540254438384
资金	0.006265864800305882
账户	0.006156821605307526
支付	0.00606200445131724
消费者	0.005744308340282303
消费	0.005472153303347141
机构	0.005364646166664281
客户	0.005313463868081954
监管	0.00518177828294622
管理	0.005163209069806228
商业	0.004981936358959736
业务	0.004950197300048859
女士	0.004803264685530359
融资	0.00476022146279019


Topic: 2
万科	0.01590958194284436
股东	0.01083669740821692
创新	0.01048424106680839
宝能	0.007953056473604142
公司	0.007490668041544951
企业	0.007405525907034678
风洞	0.007184078945603889
技术	0.006916957493144788
军民	0.006294838076686909
发展	0.006265815483824296
科技	0.0061081380997509505
华润	0.005909605612983929
建设	0.0054751109850370485
食品	0.005228234994551274
融合	0.005080428798994631
试验	0.005017192495655337
董事会	0.004849336660636886
谣言	0.004748598296791535
产业	0.004676704940789202
我国	0.004555699398435499


Topic: 3
演出	0.006062327541523587
党员	0.00593053103234607
官兵	0.005122718497925546
艺术	0.0050626195398541865
历史	0.004917853637123217
文化	0.004719361219216572
音乐	0.004553500951721102
医院	0.004389591531416646
军人	0.004365723521000611
连队	0.0041394452456218565
战士	0.003925901671251962
舞台	0.003900322906784052
精神	0.003565470149610537
医疗	0.003536607290966118
活动	0.0034686904162292177
民族	0.0034157319011398363
英雄	0.003301284359269517
革命	0.0031083934405431663
红军	0.003099221151414412
表演	0.0029515289618229053


Topic: 4
民警	0.008949355457916995
6日	0.008101622189438119
警方	0.006997448241814095
培训	0.005273458164797814
救援	0.005156721787908734
车辆	0.004878947717119244
武汉	0.004878844862927664
5日	0.004600379980542858
暴雨	0.004554164553040918
男子	0.0044994007136252715
人员	0.004363723947830725
降雨	0.004320417472089707
群众	0.0042940808317104675
道歉	0.004212298396181826
受灾	0.004082276388793634
犯罪	0.0039189996817280215
台风	0.0038542642950144443
西瓜	0.003839204312449304
小区	0.0038224598677138832
嫌疑人	0.003803798808724706


Topic: 5
电影	0.012135789368314167
彩票	0.0077587306992885074
文化	0.007062412177676731
观众	0.005600213571044386
书店	0.005016323384333774
节目	0.005007688508615332
上海	0.004925728680801692
中国	0.004880552529470161
影片	0.004832429126513881
旅游	0.004703347857379136
导演	0.0043684791181652135
城市	0.004084224585629118
作品	0.004070942344207421
明星	0.0039606789408140166
小说	0.0037432452672928477
喜剧	0.003567839793464327
艺术	0.003510073738103306
韩国	0.0034479274408449044
党课	0.0032970057086133967
销售	0.003288581399520793


Topic: 6
学生	0.006761507151619347
美军	0.006721722044701671
训练	0.005509308593467033
学习	0.00522487710076736
学校	0.005114559592539378
运动	0.004835319263816092
毕业	0.0046821257656325796
专业	0.004489128980411889
作战	0.004379329429523458
理论	0.004074863849491601
部队	0.003927221592627404
孩子	0.003797866073391607
军事	0.003693572332366871
教育	0.0036049090494339004
歌手	0.0035618097665469613
节目	0.003487236140101725
班主任	0.0034434285978522327
大学	0.003365332883674729
院校	0.003358454158140118
干部	0.003128048457884812


Topic: 7
梅西	0.013806117560500453
川菜	0.010391860931889402
导弹	0.008971331965024412
美国	0.008797659883208452
潜艇	0.008518441869464101
发射	0.008414193538117091
返回舱	0.00785797817609738
阿根廷	0.007232753964546014
海军	0.006730354412081487
朱德	0.005870780822260026
武器	0.005563688736751963
系统	0.0051584557358208966
火箭	0.0050959677819408964
航母	0.004846549374947134
航天	0.004839181852281939
朝鲜	0.004652339964104079
飞船	0.00435483896495245
技术	0.004153893437834776
长征七号	0.004119818515339527
运载火箭	0.004099671447357238


Topic: 8
比赛	0.012853413256058453
足球	0.010573819224446923
球员	0.008465781441651788
球队	0.008183542685339737
欧洲	0.007845142107150344
欧洲杯	0.007806460132941368
联赛	0.006978354904035955
意大利	0.006523351844620184
决赛	0.006507814598651526
冠军	0.005811781697190585
宁泽涛	0.005415675458767929
西班牙	0.005243173639929467
赛事	0.004545516040120188
本届	0.004503542758773038
冰岛	0.004349513682908705
球迷	0.004276245661878453
奥运会	0.004270025733337994
奥运	0.004114475095738197
点球	0.004111851276292384
运动员	0.004052359361935883


Topic: 9
市场	0.008589847778932761
故宫	0.007667073848935187
经济	0.007560609996475351
价格	0.006677139813095217
增长	0.006444230967433775
黄河	0.006408949620419526
文物	0.005774867408742663
投资	0.005736671336821791
养老	0.0056581818130109545
指数	0.005640752976065582
号子	0.005285528086643226
人民币	0.0051610720903507434
企业	0.005132091201255649
品牌	0.004793498560807581
创业	0.004747409468174899
政策	0.004727088472807119
上市	0.004682830622017729
下降	0.004413382312914641
上涨	0.0038732227674605933
增速	0.003769343139393139
